"student_id"	"pre_move_grade"	"post_move_grade"	"noise_level_pre"	"noise_level_post"	"study_hours"	"part_time_job"	"family_income"	"grade_improvement"	"distance"	"weights"	"subclass"
56	68.2612555846572	75.5997774098068	"High"	"Moderate"	4.82286977572223	"No"	33494.5345657489	7.3385218251496	0.548429686234701	1	"23"
57	65.1012660097331	82.8774125594646	"High"	"Low"	7.16159899230303	"No"	46502.4576078873	17.7761465497315	0.480997127319656	1	"42"
58	90.1323145721108	68.6757105123252	"High"	"Low"	6.26150823130113	"No"	57564.0643854548	-21.4566040597856	0.376977503183864	1	"28"
59	95.801814366132	77.7907200809568	"Moderate"	"Low"	4.77272020898772	"Yes"	44611.9084002241	-18.0110942851752	0.460634486741164	1	"8"
60	74.9785110354424	68.7196267489344	"High"	"Moderate"	1.9341959942188	"No"	52272.9192167294	-6.25888428650799	0.349334158666974	1	"24"
61	86.6046077851206	80.09198253043	"Moderate"	"Moderate"	3.95776536489496	"Yes"	54922.2857006443	-6.5126252546906	0.365041064855663	1	"25"
62	63.7936264369637	74.1561828739941	"Moderate"	"Low"	4.02025909372305	"Yes"	52678.3501533168	10.3625564370304	0.383379576499252	1	"40"
63	75.3587855119258	85.9994063526392	"Moderate"	"Low"	5.09430886552305	"No"	56532.5767947138	10.6406208407134	0.366395798591853	1	"39"
64	70.9753457829356	74.9885582644492	"High"	"Low"	7.60039735533364	"Yes"	48772.9133902262	4.01321248151359	0.474302948681886	1	"38"
65	92.5856015551835	74.2178152315319	"Moderate"	"Moderate"	9.58615794766219	"Yes"	45863.2348640788	-18.3677863236516	0.532004011610529	1	"26"
67	92.4025741219521	89.6133744157851	"Moderate"	"Moderate"	4.73369807134211	"Yes"	49070.5898152053	-2.789199706167	0.423694631526799	1	"27"
68	92.4955803807825	68.8441175129265	"High"	"Low"	1.48694520888473	"Yes"	54302.8469635999	-23.651462867856	0.331567406005177	1	"24"
69	91.7736928444356	76.509844744578	"High"	"Moderate"	4.22244027185651	"No"	55353.9884086815	-15.2638480998576	0.361678400571792	1	"28"
70	77.5932675041258	70.6274674739689	"High"	"Low"	5.17841444614659	"No"	44447.2164868675	-6.9658000301569	0.464298555750857	1	"6"
72	85.1688452623785	67.3531396314502	"High"	"Low"	6.92505593696854	"Yes"	52864.2441962882	-17.8157056309283	0.429509007457871	1	"30"
73	88.4072960540652	94.5457644574344	"High"	"Moderate"	6.36861885883293	"Yes"	51263.1585845889	6.1384684033692	0.433192679354585	1	"30"
74	60.0249909330159	89.8627201654017	"Moderate"	"Moderate"	2.20945130040106	"Yes"	62722.6677946852	29.8377292323858	0.282941025477911	1	"31"
75	79.0126629639417	86.7313859891146	"High"	"Low"	6.69928609126671	"No"	42815.3377868074	7.71872302517291	0.503557551031546	1	"43"
76	68.8047554064542	84.720714930445	"Moderate"	"Low"	4.10688556714556	"No"	45496.6137607529	15.9159595239908	0.437688583516728	1	"4"
77	75.1926615089178	74.8895224090666	"High"	"Moderate"	5.34960540032251	"No"	73974.5248004976	-0.303139099851194	0.248595512242151	1	"32"
78	84.5108401309699	81.1934274341911	"High"	"Low"	5.14910235434747	"No"	50111.2918722089	-3.3174126967788	0.417750283598336	1	"37"
80	64.4454169739038	83.2700039912015	"High"	"Moderate"	5.04934996565228	"No"	35614.9335508548	18.8245870172977	0.534876316130914	1	"33"
81	69.7447789087892	93.5907105915248	"Moderate"	"Low"	1.66504980482867	"Yes"	48094.831979571	23.8459316827356	0.381292609056597	1	"12"
82	86.7222234979272	72.4979265965521	"Moderate"	"Moderate"	6.47299192954688	"Yes"	53784.2390363683	-14.2242969013751	0.414604687789201	1	"34"
83	76.7058711871505	88.3316128887236	"High"	"Moderate"	5.77205313669935	"Yes"	53000.385452058	11.6257417015731	0.409327428084129	1	"35"
84	91.5278333611786	70.6007122434676	"High"	"Moderate"	4.46869674944356	"No"	39943.6374048916	-20.927121117711	0.489341327380932	1	"36"
85	64.1145857702941	83.7737277615815	"High"	"Moderate"	5.23628902209336	"Yes"	50192.5927462537	19.6591419912874	0.42299536520685	1	"37"
86	77.3957096599042	79.2515920195729	"Moderate"	"Moderate"	5.26807729073693	"No"	39225.7934688802	1.8558823596687	0.508851208611816	1	"38"
87	99.3982791993767	70.6013092584908	"Moderate"	"Moderate"	5.442038937122	"No"	57127.0332524428	-28.7969699408859	0.367329646725865	1	"39"
88	95.7220445759594	82.5836173910648	"Moderate"	"Moderate"	8.28169233195497	"Yes"	60847.7508986065	-13.1384271848946	0.38813709141724	1	"40"
89	95.4587624315172	96.5275289211422	"High"	"Moderate"	4.56189924213305	"No"	27750.1230351259	1.06876648962501	0.590542546775447	1	"41"
91	65.2278276626021	70.966664860025	"High"	"Moderate"	7.33676774613819	"No"	37589.5550319151	5.73883719742291	0.557267766539817	1	"42"
92	86.1240770015866	72.8593102563173	"High"	"Low"	7.10836204675384	"Yes"	54547.6926898263	-13.2647667452693	0.418979958449867	1	"27"
93	73.740658890456	99.4256353750825	"High"	"Low"	7.29052622076071	"Yes"	56599.0263814261	25.6849764846265	0.405574373266052	1	"1"
95	72.8149296995252	97.492563566193	"High"	"Low"	9.00496546058566	"No"	43548.8604314021	24.6776338666678	0.53663169922659	1	"2"
96	67.507644770667	78.6613080929965	"Moderate"	"Low"	5.13340174186037	"No"	51653.2102124205	11.1536633223295	0.405166739927849	1	"15"
99	78.6711616627872	66.0938646737486	"High"	"Moderate"	5.04196717270847	"No"	29476.6301609805	-12.5772969890386	0.584641768551249	1	"43"
100	80.4602183960378	82.914682328701	"High"	"Moderate"	7.49982914193843	"No"	33636.2073194098	2.4544639326632	0.591862324360784	1	"2"
